Title,Type,Rating,Vote Count,Start Date,Studio
Accel World,TV,8.41,996,"Apr 07, 2012",Sunrise
Acchi Kocchi Youchien,SPECIAL,9.78,70,"Jun 29, 2012",
Accel World: Acchel World.,SPECIAL,7.85,57,"Jul 25, 2012",J.C.Staff
Accel World: Infinite∞Burst,MOVIE,7.98,243,"Jul 23, 2016",Sunrise
Ace of Diamond OVA,OVA,9.86,43,"Nov 17, 2014",Madhouse
Ace Attorney,TV,9.12,415,"Apr 02, 2016",A-1 Pictures
Ace Attorney Season 2,TV,9.35,286,"Oct 06, 2018",CloverWorks
Ace of the Diamond act II,TV,9.19,1618,"Apr 02, 2019",Madhouse
Ace of Diamond: Second Season OVA,OVA,9.13,51,"Aug 15, 2016",Madhouse
Ace of the Diamond,TV,9.03,1908,"Oct 06, 2013",Madhouse
Ace wo Nerae! 2,OVA,9.11,25,"Jul 25, 1988",TMS Entertainment
Ace of the Diamond Second Season,TV,9.18,975,"Apr 06, 2015",Madhouse
Ace wo Nerae: Final Stage,OVA,6.15,8,"Oct 25, 1989",Tokyo Movie Shinsha
Active Raid Second,TV,8.66,39,"Jul 11, 2016",Production IMS
Action Heroine Cheer Fruits,TV,8.53,37,"Jul 07, 2017",Diomedea
Active Raid,TV,8.44,90,"Jan 07, 2016",Production IMS
Ad Lib Anime Kenkyuujo,TV,7.67,6,"Oct 16, 2011",add some
Actors: Songs Connection,TV,9.03,147,"Oct 06, 2019",Drive
"Actually, I Am",TV,8.63,1577,"Jul 07, 2015",TMS Entertainment
Adachi-ga Hara,MOVIE,7.13,7,"Nov 16, 1991",Tezuka Productions
Adachi and Shimamura,TV,8.91,1852,"Oct 09, 2020",Tezuka Productions
Adachi to Shimamura Mini Anime,ONA,8.77,13,"Sep 11, 2020",Tezuka Productions
Adieu Galaxy Express 999,MOVIE,8.38,23,"Jan 08, 1981",Toei Animation
Adamski,MOVIE,5.85,13,2008,
Adesugata Mahou no Sannin Musume,OVA,8.89,8,"Mar 28, 1986",Pierrot
Adventure Boy Shadar,TV,6.26,22,"Sep 18, 1967",Nihon Hoso Eigasha
Admiral's Diary,MOVIE,6.5,10,"Jul 19, 1997",Hangil Production
Adults Dunno How to Love!,ONA,5.73,402,"Oct 05, 2020",Ether Kitten
Aesthetica of a Rogue Hero,TV,7.12,2494,"Jul 06, 2012",Arms
Adventures in Beauty Wonderland,MOVIE,4.73,15,2013,add some
Adventures of the Polar Cubs,MOVIE,2,5,"Jul 21, 1979",Mushi Production
Afro Samurai,TV,8.95,328,"May 03, 2007",Gonzo
Aesthetica of a Rogue Hero Specials,SPECIAL,8.51,275,"Sep 26, 2012",Arms
Africa Salaryman,TV,8.67,113,"Oct 07, 2019",HOTZIPANG
Afro Samurai: Resurrection,MOVIE,8.86,202,"Jan 25, 2009",Gonzo
Afro Samurai Pilot,SPECIAL,9.33,52,"Jan 01, 2003",Madhouse
Afro Samurai the Movie,MOVIE,9.17,127,"Oct 27, 2007",Gonzo
After School in the Teachers' Lounge,OVA,4.61,216,Apr 1994,SIDO LIMITED
Afro-Ken,OVA,8.33,18,"Jun 25, 2001",Sunrise
After School Dice Club,TV,8.55,148,"Oct 03, 2019",LIDENFILMS
After War Gundam X,TV,9.07,123,"Apr 05, 1996",Sunrise
After School Midnighters,MOVIE,6.7,10,"Aug 25, 2012",KOO-KI
After the Rain,TV,8.77,1378,"Jan 12, 2018",Wit Studio
Against the Gods,ONA,8.12,82,"Apr 26, 2019",add some
After-school Hanako-kun,TV,7.89,795,"Oct 13, 2023",Lerche
AFTERLOST,TV,7.6,324,"Apr 07, 2019",Madhouse
Agate,ONA,7.96,269,"Jul 04, 2023",Changchun Unity of Knowledge and Action Animation
Against the Gods (2023),ONA,8.9,235,"Sep 23, 2023",Foch Films
Against The Sky Supreme,ONA,8.26,1741,"Jul 16, 2021",Suoyi Technology
AGE OF OBSCURE: Boubaku Jidai,MOVIE,9.5,4,2016,add some
Agatha Christie's Great Detectives Poirot and Marple,TV,8.99,38,"Jul 04, 2004",OLM
Age 12,OVA,8.23,42,"Apr 03, 2014",SynergySP
Aggretsuko,TV,8.67,158,"Apr 02, 2016",Fanworks
Agent Aika,OVA,8.14,68,"Apr 25, 1997",Studio Fantasia
